meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1219,9161,2,1,2023-09-16T13:00:02.184000+00:00,,53.111,30.919,300,273,True,,"[2064, 2064, 2064, 2051, 2051, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2051, 2051, 2051, 2051, 2051, 2051]",
1219,9161,20,1,2023-09-16T13:00:04.028000+00:00,,50.156,37.076,229,254,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2051, 2051]",
1219,9161,40,1,2023-09-16T13:00:06.778000+00:00,,55.074,41.197,234,242,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1219,9161,27,1,2023-09-16T13:00:12.465000+00:00,,48.363,35.567,279,253,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1219,9161,77,1,2023-09-16T13:00:14.622000+00:00,,47.877,43.931,279,253,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]",
1219,9161,24,1,2023-09-16T13:00:17.965000+00:00,,49.824,34.739,239,250,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1219,9161,4,1,2023-09-16T13:00:35.231000+00:00,,49.642,35.501,265,246,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2049]",
1219,9161,11,1,2023-09-16T13:00:46.480000+00:00,,50.182,39.979,279,242,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2049, 2049, 2049]",
1219,9161,1,1,2023-09-16T13:00:59.308000+00:00,,49.611,42.252,263,255,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",
1219,9161,55,1,2023-09-16T13:01:02.636000+00:00,,51.737,42.765,271,250,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",
